Channel,RMS,Sigma,Mean,Rate,PED_Mean,PED_Sigma,P1,P0,P1_err,P0_err,Time,Gain,Gain_err,Rate_err
42,30.586302969886386,16.632490902913815,129.5144903641826,551.55,67.5,2.4,122.1,-1.5,1.7,2.3,625.156814275,3.2511512266678233,0.1261509383555692,0.9587752604234215
43,31.40359585001612,14.931233107924113,119.01533454404473,659.7716666666666,61.7,2.4,118.9,2.9,2.3,2.8,623.472914475,2.860351899918247,0.15724911111426199,1.0486274097335262
44,39.66319043046341,15.001485316437657,119.49420563097034,270.37833333333333,65.2,2.6,117.3,1.7,2.8,3.0,616.7618976,2.8023340596211814,0.17330168578325802,0.6712902170861389
45,33.44655700139883,15.37563925065973,114.41492148753522,409.5466666666667,57.4,2.4,126.3,-4.1,5.5,7.4,636.9023034749999,3.024293422779851,0.3891602580945993,0.8261826540044143
46,34.23669731293328,14.283078278254592,115.65077337131248,322.81666666666666,60.1,2.3,116.5,2.3,2.3,2.8,640.2433116249999,2.8568011465296395,0.16047275167207461,0.733503768073333
47,41.911355795014686,14.071663027741508,114.11894325316905,314.79333333333335,57.3,2.5,124.5,4.8,3.7,5.0,1115.05121545,2.611392733592824,0.26273801736428765,0.7243311090623925
48,55.55178450604079,20.92121402220943,136.64558755127067,164.66166666666666,60.5,2.0,122.7,7.6,4.2,6.8,962.3501600249999,3.491523408275808,0.3664441346826654,0.5238665012301427
49,50.97587159400932,14.877160494930457,123.34044351520274,154.775,72.3,2.3,131.5,0.9,0.9,1.2,625.150036575,2.3831009275286474,0.05941172549820503,0.5078959867269413
50,44.952740051879836,17.096325756147078,129.1252429523733,213.28166666666667,70.2,2.2,127.0,5.3,1.3,1.8,621.8006356,2.6390375468687646,0.09267015499789365,0.5962125832657714
51,37.21677894146789,13.546937740091451,126.92360887860148,473.995,76.3,2.4,137.6,-8.2,1.9,3.0,623.478586575,2.6718572346748495,0.14118007868736507,0.8888147538529425
52,44.06110343695408,16.092916839569764,122.45699414028196,213.5,61.6,2.1,131.2,-3.8,1.4,1.9,618.4399083,3.080077845859469,0.09634109111427054,0.5965176722724427
53,64.71997694827174,18.832591115328142,131.0672432513385,94.16166666666666,70.0,2.2,129.3,6.2,1.2,1.7,620.1086088,2.6521289274622246,0.08595275814762125,0.39615162641482504
54,29.273567124601154,14.170674794435593,120.85945815984175,615.0966666666667,58.9,2.2,127.6,2.6,1.0,1.1,636.8989479749999,2.9074969709953837,0.05852177386248074,1.0125024005458512
55,41.85138663183394,15.212589557996372,122.23784691636423,289.275,61.4,2.4,124.7,9.5,2.2,2.9,908.6802278,2.573067708318175,0.15229481646136414,0.6943522160978534
56,51.550808350366594,13.248295898014087,116.79452029175239,366.98333333333335,64.1,1.9,131.8,4.1,2.4,3.8,623.47602585,2.304368374988258,0.18502808220121425,0.7820734549189666
57,39.60915724554149,15.202394365415651,127.296924651263,315.1483333333333,68.5,2.1,127.7,1.8,1.5,1.9,621.80169615,2.7895910655473277,0.0986254020999438,0.7247394167714506
58,39.99229840613119,13.823532931964316,124.95906383575083,242.825,70.6,2.1,126.8,5.6,4.6,7.9,618.443349425,2.4033450234498632,0.3990423355804778,0.6361669068203196
59,61.926809437245225,16.301425214483054,121.52833117723156,94.40666666666667,61.7,2.2,130.7,1.2,1.1,1.6,611.7290377249999,2.8035736025837585,0.08020172936065575,0.39666666666666667
60,51.24102431084998,15.448091691889047,119.73766773406527,180.40333333333334,58.9,2.2,133.4,1.4,4.1,6.8,616.76867265,2.7847483008838676,0.32990165064221244,0.548335866255548
61,53.30876502652398,15.54309551561566,123.20768982068691,138.87833333333333,61.3,2.4,125.9,1.5,1.1,1.5,618.4322132,2.998793180137356,0.07902996593322179,0.4811069412187782
62,36.811507541933224,12.44559936573245,117.2628351224883,307.34166666666664,62.3,2.2,129.2,-0.1,1.1,1.5,621.8014427749999,2.6636433399036528,0.07604911737024411,0.7157067214377067
63,43.59668615220068,16.003363834251314,125.57598841683733,261.205,61.7,2.4,132.2,1.6,1.6,1.8,880.1670388,2.9442127655463946,0.09229740620619445,0.6598042639045815
64,41.31951335761693,18.820034279040776,141.5544613258177,317.0133333333333,73.6,1.9,114.1,14.0,13.8,10.0,970.7609832999999,2.9554371891880864,0.6540858318929627,0.726880702423414
65,33.47173262732589,18.10723868179959,154.14817181555097,469.085,82.0,1.9,130.8,0.2,4.7,3.8,633.541310325,3.4378904728378705,0.21962498206574432,0.8841992611020061
66,42.98357434655237,19.271611830875507,147.82256108383126,234.35333333333332,78.8,1.8,123.1,0.2,2.2,1.5,638.5670832,3.494240509942692,0.09855662519667671,0.6249711104434259
