GCUId	Chn	Mean_Ping_HG	Mean_Pong_HG	RMS_Ping_HG	RMS_Pong_HG	Mean_Ping_LG	Mean_Pong_LG	RMS_Ping_LG	RMS_Pong_LG	Length	x	y	z
8045	72	67.1438	64.8707	2.21531	2.20464	0	0	0	0	0	0	0	0
8045	73	73.5825	68.0773	2.25299	2.28434	0	0	0	0	0	0	0	0
8045	74	73.2843	67.4082	2.34266	2.36946	0	0	0	0	0	0	0	0
8045	75	65.682	67.5797	2.49501	2.50216	0	0	0	0	0	0	0	0
8045	76	68.8766	69.3179	2.51111	2.47391	0	0	0	0	0	0	0	0
8045	77	64.3308	69.5277	2.83366	2.79898	0	0	0	0	0	0	0	0
8045	78	65.8972	66.4468	2.25268	2.28126	0	0	0	0	0	0	0	0
8045	79	70.4098	67.1429	2.3766	2.36162	0	0	0	0	0	0	0	0
8045	80	79.9832	75.1125	3.88574	3.96267	0	0	0	0	0	0	0	0
8045	81	74.9226	75.6789	3.12743	3.10585	0	0	0	0	0	0	0	0
8045	82	76.1559	79.6489	3.14059	3.14271	0	0	0	0	0	0	0	0
8045	83	76.3203	79.329	2.45594	2.44078	0	0	0	0	0	0	0	0
8045	84	76.1431	80.1637	2.73036	2.69282	0	0	0	0	0	0	0	0
8045	85	78.6833	79.4089	2.2068	2.21043	0	0	0	0	0	0	0	0
8045	86	77.2488	80.742	2.44839	2.40194	0	0	0	0	0	0	0	0
8045	87	76.1717	80.2281	2.35383	2.3248	0	0	0	0	0	0	0	0
8045	88	79.5685	78.4106	2.33384	2.36129	0	0	0	0	0	0	0	0
8045	89	77.3047	70.7184	2.32772	2.3359	0	0	0	0	0	0	0	0
8045	90	77.6524	71.6504	2.39708	2.38768	0	0	0	0	0	0	0	0
8045	91	76.3062	73.3847	2.20627	2.19143	0	0	0	0	0	0	0	0
8045	92	78.2741	71.7797	2.30388	2.31645	0	0	0	0	0	0	0	0
8045	93	80.1391	79.6742	2.24431	2.27104	0	0	0	0	0	0	0	0
8045	94	76.4999	79.3202	2.37161	2.32763	0	0	0	0	0	0	0	0
