GCUId	Chn	Mean_Ping	Mean_Pong	RMS_Ping	RMS_Pong	Length	x	y	z
8180	38	79.6618	80.3025	2.48933	2.46759	5	-1699.81	18757.2	4584.33
8180	39	85.0255	77.3615	2.30506	2.36286	5	-2237.19	18700.8	4584.33
8180	40	83.1771	84.2606	2.48468	2.46848	5	-2772.72	18628.9	4584.33
8180	41	85.6813	86.6566	2.31953	2.31611	5	-6191.21	17828.1	4423.35
8180	42	86.1793	81.8851	2.49828	2.52267	5	-5696.47	18059.4	4141.1
8180	43	80.9223	79.6949	2.44574	2.43467	5	-5900.12	17810.3	4870.42
8180	44	80.8958	83.2013	2.64106	2.58184	5	-3305.98	18541.7	4584.33
8180	45	86.0014	74.696	2.32007	2.37161	5	-2510.33	18704.9	4423.35
8180	46	85.1355	82.797	2.38922	2.41671	5	-2518.83	18768.2	4141.1
8180	47	82.944	82.4602	2.3437	2.35223	5	-3293.35	18470.8	4870.42
8180	48	70.389	65.8216	2.30675	2.30419	5	-4598.54	18147.7	5025.23
8180	49	62.7886	63.6511	2.7539	2.7294	5	-2198.48	18377.2	5760.47
8180	50	65.4195	64.9102	2.6851	2.69345	5	-1918.46	18252.9	6236.22
8180	51	65.7187	68.1633	2.33368	2.31989	5	-1956.91	18618.7	5025.23
8180	52	63.5105	65.9611	2.40628	2.38192	5	-3534.78	18302.2	5317.27
8180	53	59.4656	57.6027	2.37248	2.36459	5	-2479.35	18474.8	5317.27
8180	54	56.7354	62.953	2.42849	2.39409	5	-2190.1	18156.4	6425.66
8180	55	64.834	63.9844	2.25508	2.25039	5	-4869	18119.4	4870.42
8180	56	66.1947	65.858	2.14891	2.15377	5	-2476.91	18185.5	6236.22
8180	57	62.9511	64.4558	2.28686	2.27852	5	-2724.75	18306.6	5760.47
8180	58	58.9737	59.8468	2.19203	2.19269	5	-5117.24	18008.3	5025.23
8180	59	56.6443	63.7507	2.52946	2.50665	5	-3021.45	18475.9	5025.23
8180	60	62.5771	60.7993	2.7946	2.8226	5	-2490.21	18554.9	5025.23
8180	61	71.2261	70.5523	2.62509	2.60644	5	-2762.13	18557.7	4870.42
8180	62	69.5998	69.5814	2.41648	2.41227	5	-5223.89	17594.3	6236.22
8180	63	63.8954	58.5882	2.65968	2.68714	5	-3008.3	18396.1	5317.27
8180	64	74.3423	72.0719	2.72368	2.74782	10	-916.91	19354.5	548.472
8180	65	76.4916	74.5972	2.54498	2.58025	10	-4481.74	18816.4	1264.18
8180	66	78.378	73.0106	2.30599	2.32878	10	-3661.44	18957.4	1717.25
8180	67	79.5188	73.8413	2.85373	2.88152	10	-5565.24	18567.7	95.7141
8180	68	73.8514	82.5565	2.33958	2.35663	10	-3397.97	19057.6	1000.63
8180	69	73.3223	69.9314	2.57122	2.60537	10	-2849.88	19147.2	1000.63
8180	70	72.0309	76.2038	3.0137	2.9582	10	-7369.57	17846	1717.25
8180	71	72.4514	76.7837	2.48744	2.46977	10	-2302.48	19246.5	95.7141
