GCUId	Chn	Mean_Ping	Mean_Pong	RMS_Ping	RMS_Pong	Length	x	y	z
8187	47	62.07	61.0745	2.67616	2.7266	5	11761.3	-11227	10553.1
8187	48	69.2278	75.795	2.85854	2.86992	5	10487.4	-12202.6	10809.8
8187	49	71.1368	70.7762	2.57301	2.61086	5	11479.8	-10874.2	11211.8
8187	50	72.7854	76.4488	2.68082	2.66083	5	11933.4	-9771.01	11741.4
8187	51	74.4308	74.7552	2.49459	2.52063	5	13302	-9055.12	10808.5
8187	52	68.1771	76.1283	2.86139	2.85231	5	12333.5	-10098.5	11029.3
8187	53	73.965	76.3112	2.62466	2.63106	5	12234.5	-10017.5	11211.8
8187	54	78.5323	78.4788	2.56454	2.57275	5	11078.7	-10494.3	11952.9
8187	55	72.5663	73.009	2.53254	2.56068	5	13440.4	-9149.36	10555
8187	56	76.1872	74.3385	2.61016	2.63124	5	11955.9	-10155.4	11387
8187	57	79.8531	74.0468	2.49561	2.54452	5	11079.7	-11281.6	11211.8
8187	58	75.5804	74.456	2.4735	2.47838	5	12677.9	-9910.08	10808.6
8187	59	76.5994	73.8231	2.86311	2.92418	5	12345.1	-10321.7	10808.6
8187	60	80.2445	75.6283	2.61635	2.64015	5	11638.6	-11109.9	10809.8
8187	61	70.504	75.5717	2.77819	2.79118	5	13132.2	-9586.46	10555
8187	62	75.1146	75.7246	2.96946	2.96278	5	11197.3	-10606.6	11741.4
8187	63	72.337	74.1822	2.92892	2.94722	5	13030	-9182.26	11029.3
8187	64	84.8283	84.1832	2.15314	2.15473	10	13691.5	-11891.6	6846.23
8187	65	78.5602	89.5073	2.38197	2.35743	10	11226.4	-14119.8	7095
8187	66	91.3748	86.5956	3.09447	3.10547	10	10074.9	-14881.5	7264.63
8187	67	89.3271	90.1202	2.35303	2.40378	10	11599.5	-14138.7	6425.66
